id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date,lyrics
3DpuYpzkvUWXbmzCm6pfzR,Burn the Witch,A Moon Shaped Pool,2ix8vWvvSp2Yo7rKMiWpkg,['Radiohead'],['4Z8W4fKeB5YxbusRsdQVPb'],1,1,False,0.54,0.847,11,-6.52,1,0.0297,0.303,0.272,0.109,0.62,148.936,220609,4.0,2016,2016-05-08,"Stay in the shadows
Cheer at the gallows
This is a round up

This is a low flying panic attack
Sing a song on the jukebox that goes

Burn the witch
Burn the witch
We know where you live

Red crosses on wooden doors
And if you float you burn
Loose talk around tables
Abandon all reason
Avoid all eye contact

Do not react
Shoot the messengers

This is a low flying panic attack
Sing the song of sixpence that goes

Burn the witch
Burn the witch
We know where you live
We know where you live"
1Rd5OVjqDAr5xC96MHt448,Daydreaming,A Moon Shaped Pool,2ix8vWvvSp2Yo7rKMiWpkg,['Radiohead'],['4Z8W4fKeB5YxbusRsdQVPb'],2,1,False,0.214,0.263,9,-13.207,0,0.0336,0.968,0.853,0.126,0.113,137.561,384439,3.0,2016,2016-05-08,"Dreamers
They never learn
They never learn

Beyond the point
Of no return
Of no return

It's too late
The damage is done
The damage is done

This goes
Beyond me
Beyond you

A white room
By a window
Where the Sun comes through

We are
Just happy to serve
Just happy to serve you"
4mRSbPLnOm54ttkTYvxxSY,Decks Dark,A Moon Shaped Pool,2ix8vWvvSp2Yo7rKMiWpkg,['Radiohead'],['4Z8W4fKeB5YxbusRsdQVPb'],3,1,False,0.557,0.501,2,-10.827,0,0.0269,0.6659999999999999,0.8370000000000001,0.1169999999999999,0.271,139.149,281011,4.0,2016,2016-05-08,"And in your life, there comes a darkness
There’s spacecraft blocking out the sky
And there’s nowhere to hide
You run to the back and you call on your knees
But it’s the loudest sound you’ve ever heard
And are we trapped like dark cloud’s people
We are helpless to resist
In our darkest hour

But it was just a laugh, just a laugh/lie
Just a laugh, just a laugh
Even at this angle
And so we crumble
To turn heads, you know where it’s at
This dread still covers us
You gotta be kidding me

The grass grows over me
Your face in the glass, in a glass
It was just a laugh, just a laugh
It’s whatever you say it is
Spread at infinity

And in your life, there comes a darkness
And a spacecraft blocking out the sky
And there’s nowhere to hide
You run, look back and you call on your knees
It’s the loudest sound you’ve ever heard
In your darkest hour

We will never, never know
when you had enough of it, sweet dark
We will never, never know
We will never, never know
Sweet dark

Sweet dark
Sweet dark
Sweet dark"
0eLVt8CGVdNnyMcfP38kDi,Desert Island Disk,A Moon Shaped Pool,2ix8vWvvSp2Yo7rKMiWpkg,['Radiohead'],['4Z8W4fKeB5YxbusRsdQVPb'],4,1,False,0.56,0.282,0,-13.241,1,0.0287,0.868,0.529,0.11,0.158,112.009,224698,1.0,2016,2016-05-08,"Now as I go upon my way
So let me go upon my way
Born of a light
Born of a light

The wind rushing round my open heart
An open ravine
In my spirit light
Totally alive
In my spirit light

Through an open doorway
Across a street
To another life
And catching my reflection in a window
Switching on a light
One I didn’t know
Totally alive
Totally released

Waking, waking up from shutdown
From a thousand years of sleep
Yeah you, you know what I mean
You know what I mean
You know what I mean

Standing on the edge of you
You know what I mean
You know what I mean
You know what I mean
Different types of love
Different types of love
Different types of love
Are possible
Are possible
Are possible
Are possible"
6nOsTV3cMjLh3k6Wpk468L,Ful Stop,A Moon Shaped Pool,2ix8vWvvSp2Yo7rKMiWpkg,['Radiohead'],['4Z8W4fKeB5YxbusRsdQVPb'],5,1,False,0.425,0.662,0,-9.877,1,0.0502,0.352,0.941,0.619,0.178,151.18200000000004,367349,3.0,2016,2016-05-08,"You really messed up everything
You really messed up everything
If you could take it all back again
Strike up what's in the box
Why should I be good if you're not?

This is a foul tasting medicine
A foul tasting medicine
To be trapped in your full stop
Truth will mess you up
Truth will mess you up
Truth will mess you up
Truth will mess you up
Truth will mess you up
Truth will mess you up
Truth will mess you up

(All the good times)
Truth will mess you up
Truth will mess you up
(All the good times)
Truth will mess you up
Truth will mess you up
(All the good times)
Truth will mess you up
Truth will mess you up
(All the good times)
Truth will mess you up
Truth will mess you up

Take me back
Take me back again
Take me back
Take me back again
You really me-

Really mess-
You really messed up
You really messed up
You really messed up
You really messed up this time
You really messed up
You really messed up
You really messed up
You really messed up this time"
0uOeAmfdyaekD2RIGwCDwq,Glass Eyes,A Moon Shaped Pool,2ix8vWvvSp2Yo7rKMiWpkg,['Radiohead'],['4Z8W4fKeB5YxbusRsdQVPb'],6,1,False,0.237,0.11,8,-15.720999999999998,1,0.0358,0.955,0.557,0.138,0.0632,114.436,172936,4.0,2016,2016-05-08,"Hey it's me, I just got off the train
A frightening place
The faces are concrete grey
And I'm wondering, should I turn around?
Buy another ticket
Panic is coming on strong
So cold, from the inside out
No great drama, message coming in
In the oh-so-smug
Glassy eyed light of day
Glassy eyed light of day

The path trails off
And heads down a mountain
Through the dry bush,
I don't know where it leads
I don't really care
And the path trails off
And heads down a mountain
Through the dry bush,
I don't know where it leads
I don't really care

I feel this love to the core
I feel this love to the core"
135WMJorhiGvPe50XF54D9,Identikit,A Moon Shaped Pool,2ix8vWvvSp2Yo7rKMiWpkg,['Radiohead'],['4Z8W4fKeB5YxbusRsdQVPb'],7,1,False,0.6920000000000001,0.4589999999999999,11,-9.461,0,0.0403,0.0632,0.512,0.136,0.35,150.695,266644,4.0,2016,2016-05-08,"A moon shaped pool, dancing clothes
Won't let me in and now I know
It's never gonna be oh me

A moon shaped pool, dancing clothes
Won't let me in and now I know
It's never gonna be oh me

A moon shaped pool, dancing clothes
Won't let me in and now I know
It's never gonna be oh me

Sweet-faced ones with nothing left inside
That we all can love,
That we all can love, that we all
Sweet-faced ones with nothing left inside
That we all can love,
That we all can love, that we all

But now I see you messing me around
I don't want to know,
I don't want to know, I don't want
When I see you messing me around?
I don't want to know,
I don't want to know, I don't want to know

Broken hearts make it rain
Broken hearts make it rain
Broken hearts make it rain
Broken hearts make it rain
Broken hearts make it rain
Broken hearts make it rain
Broken hearts make it rain
Broken hearts make it rain
Broken hearts make it rain
Broken hearts

Broken hearts make it rain
Broken hearts make it rain
Broken hearts make it rain
Broken hearts make it rain
Broken hearts make it rain
Broken hearts make it rain
Broken hearts make it rain
Broken hearts make it rain

Pieces of a ragdoll mankind
That we can create
That we can create, that we can
Pieces of a ragdoll mankind
That we can create
That we can create

But when I see you messing me around
I don't want to know
I don't want to know, I don't want
When I see you messing me around
I don't want to know
I don't want to know
I don't want to know"
1GnFQL9XnxrXFloKm1yjuW,The Numbers,A Moon Shaped Pool,2ix8vWvvSp2Yo7rKMiWpkg,['Radiohead'],['4Z8W4fKeB5YxbusRsdQVPb'],8,1,False,0.282,0.3720000000000001,5,-9.77,1,0.0315,0.6509999999999999,0.409,0.0755,0.0551,105.271,345887,3.0,2016,2016-05-08,"It holds us like a phantom
The touch is like a breeze
It shines its understanding
See the moon smiling

Open on all channels
Ready to receive
And we're not at the mercy
Of your chimeras and spells
Yur chimeras and spells
Mmmhm

We are of the earth
To her we do return
The future is inside us
It's not somewhere else
It's not somewhere else
It's not somewhere else

(One day at a time)
One day at a time

We call upon the people
People have this power
The numbers don't decide
Your system is a lie
The river running dry
The wings of a butterfly
And you may pour us away like soup
Like we're pretty broken flowers
We'll take back what is ours
Take back what is ours

One day at a time"
7KHQtpLpoIV3Wfu22YQT8y,Present Tense,A Moon Shaped Pool,2ix8vWvvSp2Yo7rKMiWpkg,['Radiohead'],['4Z8W4fKeB5YxbusRsdQVPb'],9,1,False,0.462,0.407,1,-12.428,0,0.0345,0.912,0.3989999999999999,0.11,0.336,91.915,306581,4.0,2016,2016-05-08,"This dance
This dance
Is like a weapon
Is like a weapon
Of self defense
Of self defense
Against the present
Against the present
The present tense

No, I won't get heavy
No, don't get heavy
Keep it light and
Keep it moving
I am doing
No harm

As my world
Comes crashing down
I'll be dancing
Freaking out
Deaf dumb and blind

In you I'm lost
In you I'm lost

I won't turn around or the penny drops
I won't stop now, I won't slack off
Or all this love will be in vain

To stop from falling down a mine
It's no one's business but mine
Where all this love has been in vain

In you I'm lost
In you I'm lost

In you I'm lost
In you I'm lost"
3YQVYTkonczhXyj31HH4AK,Tinker Tailor Soldier Sailor Rich Man Poor Man Beggar Man Thief,A Moon Shaped Pool,2ix8vWvvSp2Yo7rKMiWpkg,['Radiohead'],['4Z8W4fKeB5YxbusRsdQVPb'],10,1,False,0.355,0.436,11,-10.944,1,0.0302,0.73,0.7979999999999999,0.106,0.0508,90.388,303689,4.0,2016,2016-05-08,"All the holes at once are coming alive, set free
Out of sight and out of mind, lonely
And they pray

The ones you light your fires to keep away
Crawling out upon, expending
And all you have to do is say yeah

All the birds stay up in the trees
All the fish swim down too deep and lonely
And they pray
Honey, come to me before it's too late

The ones you light your fires to keep away
Is crawling out upon, expelling
And all you have to do is say yeah"
